código indicador,indicador de producto,Meta_Limpia,Ejecutado_Acumulado,Presupuesto_Ejecutado_Unificado,Producto_Final,código dependencia responsable (reporte),nombre dependencia responsable (reporte),población objetivo,comunas-corregimientos,pilar o eje plan de desarrollo distrital,presupuesto programado,Resultado_Q1,Resultado_Q2,Resultado_Q3,Resultado_Q4,programa plan de desarrollo distrital,proyectos estratégicos plan de desarrollo distrital,dimensión,subdimensión,componente,producto,tipo de indicador,fórmula de cálculo,variables que componen la fórmula,fuente de datos,unidad de medida del indicador,periodicidad de cálculo del indicador,fecha/periodo de actualización,línea base,año base,unidad de medida de la línea base,Meta_Original,año meta,comportamiento deseado,tipo de acumulación,Observaciones_Q1,Fuente_Q1,Observaciones_Q2,Fuente_Q2,Observaciones_Q3,Fuente_Q3,Observaciones_Q4,Fuente_Q4,sexo,lgbt,rangos etarios,discapacidad,afro,indígena,víctimas,unidad responsable del reporte,código dependencia responsable (misional),nombre dependencia responsable (misional),código del proyecto,nombre del proyecto,meta del proyecto,presupuesto ejecutado,observaciones presupuesto,observaciones seguimiento,unnamed: 56,source_file,source_sheet,producto/accion,fuente de verificación,persona responsable,<<,unnamed: 33,unnamed: 34,presupuesto ejecutado septiembre 30_2025,producto/acción,fuente de verificación.1,fuente de verificación.2,fuente de verificación.3
522,Estrategias de rendición social y Públicas de cuentas acompañadas y/o implementadas   ,3.0,0.0,0,Implementar y acompañar estrategias de promoción y fortalecimiento de la rendición social y pública de cuentas,712,Secretaría de Participación Ciudadana,"Ciudadanía en general
Organizaciones sociales",,Pilar 3: Transformación Educativa,0.0,,,,,3.2.1 Promoción y garantía del derecho a la participación ciudadana incidente,No,Agenciamiento y modelos de representación,Legitimidad de los liderazgos,"Control Social a lo público, gestión transparente y acceso a la información pública",Implementar y acompañar estrategias de promoción y fortalecimiento de la rendición social y pública de cuentas,Indicador de Producto,V1,V1: Estrategias de rendición social y Públicas de cuentas acompañadas y/o implementadas   , Registros administrativos generados por el equipo de control social ,Número,Semestral ,2025-06-30 00:00:00,3,2023,Número ,3,2025.0,Incrementar,Flujo,,,,,,,,,,,,,,,,Equipo de Control Social ,712,Secretaría de Participación Ciudadana,240186,Control Social a la gestión pública en el territorio.,,,,,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
429,# de personas atendidas,500000.0,353246.0,"El presupuesto asignado a la Subsecretaría de Servicio a la Ciudadanía tiene como destinación la operacion de los canales de atención, es decir que estas actividades se encuentran inmersas en el proyecto de inversion.","Promover las consultas de la Ciudadanía a través del uso de la Línea Única de Atención y la Línea Gratuita Nacional en lo que se refiere a los planes, programas, proyectos, trámites y servicios que se ofrecen en las distintas dependencias de la Administración Distrital.",706,Secretaría de Gestión Humana y Servicio a la Ciudadanía,Ciudadanía,"13 comunas y 5 corregimientos
",Pilar 3: Transformación Educativa,0.0,183782,169464,,,"Promover las consultas de la Ciudadanía a través del uso de la Línea Única de Atención y la Línea Gratuita Nacional en lo que se refiere a los planes, programas, proyectos, trámites y servicios que se ofrecen en las distintas dependencias de la Administración Distrital.",Fortalecimiento de la experiencia ciudadana,Gobernanza y gobernabilidad,Comunicación pública y gobierno abierto,"Control Social a lo público, gestión transparente y acceso a la información pública","Promover las consultas de la Ciudadanía a través del uso de la Línea Única de Atención y la Línea Gratuita Nacional en lo que se refiere a los planes, programas, proyectos, trámites y servicios que se ofrecen en las distintas dependencias de la Administración Distrital.",Indicador de Producto,Suma de personas atendidas ,Cantidad de personas atendidas ,PowerBI - proveedor,Número,Largo plazo,Enero - Marzo ,500000,2024,Número,500000,2025.0,Incrementar,Acumulado,,"PowerBI - proveedor

Z:\Cmn-Admtva\Dllo-Estratg\2. Informes",,"PowerBI - proveedor

Z:\Cmn-Admtva\Dllo-Estratg\2. Informes",,,,,,,,,,,,Subsecretaría de Servicio a la Ciudadanía - Canales de atención,706,Secretaría de Gestión Humana y Servicio a la Ciudadanía,240202,Mejoramiento de la experiencia ciudadana desde la gestión institucional ,17,"El presupuesto asignado a la Subsecretaría de Servicio a la Ciudadanía tiene como destinación la operacion de los canales de atención, es decir que estas actividades se encuentran inmersas en el proyecto de inversion.","El presupuesto asignado a la Subsecretaría de Servicio a la Ciudadanía tiene como destinación la operacion de los canales de atención, es decir que estas actividades se encuentran inmersas en el proyecto de inversion.",Se actualiza cifra del primer trimestre. ,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
430,# de personas atendidas,500000.0,628220.0,"El presupuesto asignado a la Subsecretaría de Servicio a la Ciudadanía tiene como destinación la operacion de los canales de atención, es decir que estas actividades se encuentran inmersas en el proyecto de inversion.","Fortalecer los procesos de difusión y promoción del canal virtual,que comprende el portal
https://www.medellin.gov.co/es/secretaria-de-gestion-humana/servicio-a-la-ciudadania/ , la atención en lengua de señas y WhatsApp para que la ciudadanía acceda a la información de todos los servicios y procedimientos del Distrito en tiempo real.",706,Secretaría de Gestión Humana y Servicio a la Ciudadanía,Ciudadanía,"13 comunas y 5 corregimientos
",Pilar 3: Transformación Educativa,0.0,325563,302657,,,"Fortalecer los procesos de difusión y promoción del canal virtual,que comprende el portal
https://www.medellin.gov.co/es/secretaria-de-gestion-humana/servicio-a-la-ciudadania/ , la atención en lengua de señas y WhatsApp para que la ciudadanía acceda a la información de todos los servicios y procedimientos del Distrito en tiempo real.",Fortalecimiento de la experiencia ciudadana,Gobernanza y gobernabilidad,Comunicación pública y gobierno abierto,"Control Social a lo público, gestión transparente y acceso a la información pública","Fortalecer los procesos de difusión y promoción del canal virtual,que comprende el portal
https://www.medellin.gov.co/es/secretaria-de-gestion-humana/servicio-a-la-ciudadania/ , la atención en lengua de señas y WhatsApp para que la ciudadanía acceda a la información de todos los servicios y procedimientos del Distrito en tiempo real.",Indicador de Producto,Suma de personas atendidas ,Cantidad de personas atendidas ,Data Analytics - Secretaría de Cultura,Número,Largo plazo,Enero - Marzo ,500000,2024,Número,500000,2025.0,Incrementar,Acumulado,,Data Analytics - Secretaría de Cultura y PowerBI - proveedor,,Data Analytics - Secretaría de Cultura y PowerBI - proveedor,,,,,,,,,,,,Subsecretaría de Servicio a la Ciudadanía - Canales de atención,706,Secretaría de Gestión Humana y Servicio a la Ciudadanía,240202,Mejoramiento de la experiencia ciudadana desde la gestión institucional ,17,"El presupuesto asignado a la Subsecretaría de Servicio a la Ciudadanía tiene como destinación la operacion de los canales de atención, es decir que estas actividades se encuentran inmersas en el proyecto de inversion.","El presupuesto asignado a la Subsecretaría de Servicio a la Ciudadanía tiene como destinación la operacion de los canales de atención, es decir que estas actividades se encuentran inmersas en el proyecto de inversion.",,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
431,# de personas atendidas,500000.0,271428.0,"El presupuesto asignado a la Subsecretaría de Servicio a la Ciudadanía tiene como destinación la operacion de los canales de atención, es decir que estas actividades se encuentran inmersas en el proyecto de inversion.","Fortalecer los procesos de difusión y promoción de los servicios prestados en las sedes de la subsecretaría de Servicio a la Ciudadanía para interponer PQRSD (Petición o derechos de petición, Quejas, Reclamos, Sugerencias, Denuncias) y obtener información acerca de los planes, programas, proyectos, trámites y servicios que se ofrecen en las distintas dependencias de la Administración Distrital",706,Secretaría de Gestión Humana y Servicio a la Ciudadanía,Ciudadanía,"13 comunas y 5 corregimientos
",Pilar 3: Transformación Educativa,0.0,150984,120444,,,"Fortalecer los procesos de difusión y promoción de los servicios prestados en las sedes de la subsecretaría de Servicio a la Ciudadanía para interponer PQRSD (Petición o derechos de petición, Quejas, Reclamos, Sugerencias, Denuncias) y obtener información acerca de los planes, programas, proyectos, trámites y servicios que se ofrecen en las distintas dependencias de la Administración Distrital",Fortalecimiento de la experiencia ciudadana,Gobernanza y gobernabilidad,Comunicación pública y gobierno abierto,"Control Social a lo público, gestión transparente y acceso a la información pública","Fortalecer los procesos de difusión y promoción de los servicios prestados en las sedes de la subsecretaría de Servicio a la Ciudadanía para interponer PQRSD (Petición o derechos de petición, Quejas, Reclamos, Sugerencias, Denuncias) y obtener información acerca de los planes, programas, proyectos, trámites y servicios que se ofrecen en las distintas dependencias de la Administración Distrital",Indicador de Producto,Suma de personas atendidas ,Cantidad de personas atendidas ,VisionWeb - Sentry,Número,Largo plazo,Enero - Marzo ,500000,2024,Número,500000,2025.0,Mantener,Acumulado,,VisionWeb - Sentry,,,,,,,,,,,,,,Subsecretaría de Servicio a la Ciudadanía - Canales de atención,706,Secretaría de Gestión Humana y Servicio a la Ciudadanía,240202,Mejoramiento de la experiencia ciudadana desde la gestión institucional ,17,"El presupuesto asignado a la Subsecretaría de Servicio a la Ciudadanía tiene como destinación la operacion de los canales de atención, es decir que estas actividades se encuentran inmersas en el proyecto de inversion.","El presupuesto asignado a la Subsecretaría de Servicio a la Ciudadanía tiene como destinación la operacion de los canales de atención, es decir que estas actividades se encuentran inmersas en el proyecto de inversion.",,,SegIndic_PPPC_300625.xlsx,Consolidado 2025,,,,,,,,,,,
411,Número de acciones realizadas durante el año.,167.0,51.0,500000000,"Fortalecer los procesos en torno a la acción colectiva y apropiación del territorio, en línea con la Política Pública distrital de Voluntariado y en desarrollo de la Política Pública de Cultura Ciudadana.",713,Secretaría de Cultura Ciudadana,Ciudadanía en general,"01 Popular
02 Santa_Cruz
03 Manrique
04 Aranjuez
05 Castilla
06 Doce_de_Octubre
07 Robledo
08 Villa_Hermosa
09 Buenos_Aires
10 La_Candelaria
11 Laureles_Estadio
12 La_América
13 San_Javier
14 El_Poblado
15 Guayabal
16 Belén
50 Corregimiento_de_San_Sebastian_de_Palmitas
60 Corregimiento_de_San_Cristobal
70 Corregimiento_de_Altavista
80 Corregimiento_de_San_Antonio_de_Prado
90 Corregimiento_de_Santa_Elena",Pilar 1: Bienestar Social,4000000000.0,3,48,,,"Fortalecer los procesos en torno a la acción colectiva y apropiación del territorio, en línea con la Política Pública distrital de Voluntariado y en desarrollo de la Política Pública de Cultura Ciudadana.",,Reconocimiento y confianza,"Relacionamiento entre actores sociales, políticos e institucionales","Coordinación, sinergias y alianzas para el fortalecimiento a la ciudadanía",,Indicador de Producto,# de acciones realizadas*100/# de acciones proyectadas por año,"1. Cultura Parque realzadas
2. Cultura Parque proyectados por año
3. Acciones de Voluntariado realizadas
4. Acciones de Voluntariado proyectadas",Informes de gestión Subsecretaria de Ciudadanía Cultural,Número,Largo plazo,2025-06-30 00:00:00,167,167,,167,2025.0,,Acum,"3 Cultura Parque
28/02/2025 cultura Parque la Floresta
01/03/2025 cultura Parque Poblado
02/03/2025 cultura Parque UVA La Armonía

","Reporte Subsecretaria de ciudadania Cultural
Ecard Actividades 
Publicaciones en Redes sociales","23 Cultura Parque 
25 Acciones de Voluntariado
4 de abril Cultura Parque UR Vento - San Cristóbal
25 de abril Cultura Parque Parque Boston
26 de abril Cultura Parque Castilla - Alfonso López
27 de abril Cultura Parque La Floresta
2 de mayo  Cultura Parque UVA La Armonía
3 de mayo Cultura Parque Parque Villahermosa
9 de mayo  Cultura Parque Cristo Rey
10 de mayo  Cultura Parque Castilla Alfonso López
17 de mayo  Cultura Parque Carlos E. Restrepo
18 de mayo Cultura Parque Paque Boston
23 de mayo Cultura Parque Plaza Botero
25 de mayo Cultura Parque Parques Del Río
30 de mayo Cultura Parque Parque Milagrosa
1 de junio Cultura Parque Paque Boston
6 de junio Cultura Parque San Cristóbal - Urbanización Ventto
7 de junio Cultura Parque Parque Villahermosa
8 de junio Cultura Parque Parques Del Río
13 de junio Cultura Parque Carlos E. Restrepo (Boulevard)
14 de junio Cultura Parque Parque Poblado
19 de junio Cultura Parque Parque Floresta
20 de junio Cultura Parque Plaza Botero
21 de junio Cultura Parque Parque Cristo Rey
28 de junio Cultura Parque Castilla: Alfonso López (Cancha)","Reporte Subsecretaria de ciudadania Cultural
Ecard Actividades 
Publicaciones en Redes sociales",,,,,,,,,,,,Subsecretaria de Ciudadanía Cultural,713,Secretaría de Cultura Ciudadana,20096,IMPLEMENTACIÓN DE ESTRATEGIAS Y POLÍTICAS DE CULTURA CIUDADANA,,500000000,No se tiene consolidado la ejecución presupuestal,En la Secretaria de Cultura Ciudadana no se cuenta con una recolección de datos con enfoque diferencial,,SegIndic_PPPC_300625.xlsx,Matriz_MISE_Cultura_300625 ,"Fortalecer los procesos en torno a la acción colectiva y apropiación del territorio, en línea con la Política Pública distrital de Voluntariado y en desarrollo de la Política Pública de Cultura Ciudadana.",,,,,,,,,,
451,"Acciones de cualificación y fortalecimiento de conocimientos, capacidades y habilidades para la planeación y gestión del desarrollo a la ciudadanía implementados",1.0,1.0,546663000,"Brindar procesos de cualificación y fortalecimiento de conocimientos, capacidades y habilidades para la planeación y gestión del desarrollo a la ciudadanía",761,Departamento Administrativo de Planeación Distrital,Ciudadanía en general,Comunas y Corregimientos Distrito de Medellín,Pilar 3: Transformación Educativa,0.0,0,0.5,0.5,,"Brindar procesos de cualificación y fortalecimiento de conocimientos, capacidades y habilidades para la planeación y gestión del desarrollo a la ciudadanía",Desarrollo de los instrumentos del sistema distrital de planeación social y económica.,Agenciamiento y modelos de representación,Habilidades y competencias para el ejercicio de la ciudadanía y los liderazgos,Formación para la ciudadanía activa,,Indicador de Producto,"Numerador: V1 Procesos de cualificación y fortalecimiento de conocimientos, capacidades y habilidades para la planeación y gestión del desarrollo a la ciudadanía
SIGLA:(PCFCCHPGDC)",V1,Unidad de Planeación del Desarrollo Distrital y Local,Número,Corto plazo,Anual," NAS, One Drive",2025,Número,1,2025.0,Mantener,Acumulado,"Durante el primer trimestre no se cuenta con versión final de metodología de pedagogía de PDL, se proyecta cumplirlo a partir del trimestre II 2025",No aplica,Metodología de pedagogía de PDL y BIPL,https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,,,,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Unidad de Planeación del Desarrollo Distrital y Local,761,Departamento Administrativo de Planeación Distrital,240313,Desarrollo de los Instrumentos del Sistema Distrital de Planeación Social y Económica,No aplica,546663000,Este producto no se ejecuta con presupuesto del proyecto.,Se realiza metodología de pedagogía de PDL,,SegIndic_PPPC_300625.xlsx,Matriz_MISE_DAP_300625 ,"Brindar procesos de cualificación y fortalecimiento de conocimientos, capacidades y habilidades para la planeación y gestión del desarrollo a la ciudadanía",,,,,,,,,,
452,Comunas y corregimientos que implementan el BIPL,0.25,0.25,No aplica,Implementar el Banco de Información de Proyectos Locales - BIPL en todas las comunas y corregimientos de Medellín,761,Departamento Administrativo de Planeación Distrital,Ciudadanía en general,Comunas y Corregimientos Distrito de Medellín,Pilar 3: Transformación Educativa,0.0,0.0625,0.0625,0.125,,Implementar el Banco de Información de Proyectos Locales - BIPL en todas las comunas y corregimientos de Medellín,Desarrollo de los instrumentos del sistema distrital de plaenación social y económica,Gobernanza y gobernabilidad,Articulación interinstitucional,"Coordinación, sinergias y alianzas para el fortalecimiento a la ciudadanía",,Indicador de Producto,"Numerador: V1 Banco de Información de Proyectos Locales - BIPL en todas las comunas y corregimientos de Medellín
SIGLA: (BIPLBCC)",V1,Unidad de Planeación del Desarrollo Distrital y Local,Número,Mediano plazo,Anual," NAS, One Drive",2025,Número,0.25,2025.0,Mantener,Acumulado,Se realizó el plan de trabajo implementación BIPL en el cual contiene todas las actividades necesarias para cumpli el indicador,https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,"Se realizó formación en BIPL Comuna 4, Se creó el botón BIPL en la plataforma Nuestro Desarrollo",https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,,,,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Unidad de Planeación del Desarrollo Distrital y Local,761,Departamento Administrativo de Planeación Distrital,240313,Desarrollo de los Instrumentos del Sistema Distrital de Planeación Social y Económica,No aplica,No aplica,Este producto no se ejecuta con presupuesto del proyecto.,"Se realizó formación en BIPL  denominado Cultura Contable Ciudadana con un grupo de estudiantes de la 
Universidad de Antioquia Comuna 4 – Aranjuez, Se inicio cambios en el botón BIPL en la plataforma Nuestro Desarrollo ",,SegIndic_PPPC_300625.xlsx,Matriz_MISE_DAP_300625 ,Implementar el Banco de Información de Proyectos Locales - BIPL en todas las comunas y corregimientos de Medellín,,,,,,,,,,
453,Plan de Desarrollo Distrital formulado y aprobado,1.0,0.0,0,Gestionar y coordinar la elaboración y aprobación del Plan de Desarrollo Distrital de acuerdo a la metodología y procedimientos establecidos en la normatividad.,,,Ciudadanía en general,,Pilar 3: Transformación Educativa,0.0,0,0,0,,Gestionar y coordinar la elaboración y aprobación del Plan de Desarrollo Distrital de acuerdo a la metodología y procedimientos establecidos en la normatividad.,Desarrollo de los instrumentos del sistema distrital de plaenación social y económica,Gobernanza y gobernabilidad,Apoyo público-administrativo a la participación ciudadana,Garantías para la participación ciudadana,,Indicador de Producto," Numerador: V1 Gestionar y coordinar la elaboración y aprobación del Plan de Desarrollo Distrital 
SIGLA: (GCEAPDD)",V1,Unidad de Planeación del Desarrollo Distrital y Local,Número,Corto plazo,Anual," NAS, One Drive",2024,Número,1,2024.0,No aplica,No aplica,Este indicador se cumplió en la vigencia 2024,No aplica,Este indicador se cumplió en la vigencia 2024,No aplica,,,,,,,,,,,,,,,,,,,Este indicador se cumplió en la vigencia 2024,Este indicador se cumplió en la vigencia 2024,,SegIndic_PPPC_300625.xlsx,Matriz_MISE_DAP_300625 ,Gestionar y coordinar la elaboración y aprobación del Plan de Desarrollo Distrital de acuerdo a la metodología y procedimientos establecidos en la normatividad.,,,,,,,,,,
454,Planes de Desarrollo Local direccionados técnica y metodológicamente,1.0,1.0,708447000,"Coordinar la formulación de los planes de desarrollo local con sus instrumentos de gestión, a través de la vinculación y articulación de los actores y procesos locales, para una adecuada gestión del territorio",761,Departamento Administrativo de Planeación Distrital,Ciudadanía en general,Comunas y Corregimientos Distrito de Medellín,Pilar 3: Transformación Educativa,0.0,0.25,0.25,0.5,,"Coordinar la formulación de los planes de desarrollo local con sus instrumentos de gestión, a través de la vinculación y articulación de los actores y procesos locales, para una adecuada gestión del territorio",Formulación de los Planes de Desarrollo Local de las comunas y corregimientos del distrito,Gobernanza y gobernabilidad,Apoyo público-administrativo a la participación ciudadana,Garantías para la participación ciudadana,,Indicador de Producto,"Numerador: V1 coordinar técnica y metodológicamente la formulación de los planes de desarrollo local 
SIGLA: (CFPDL)",V1,Unidad de Planeación del Desarrollo Distrital y Local,Número,Corto plazo,Anual," NAS, One Drive",2025,Número,1,2025.0,Mantener,Acumulado,Se implemento y desarrollló la Metodología horizonte colectivo,https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,Encuentros de Horizontes colectivos en las 16 comunas y 5 corregimientos del Distrito de Medellín,https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,,,,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Unidad de Planeación del Desarrollo Distrital y Local,761,Departamento Administrativo de Planeación Distrital,240314,FORMULACIÓN DE LOS PLANES DE DESARROLLO LOCAL DE LAS COMUNAS Y CORREGIMIENTOS DEL DISTRITO,No aplica,708447000,El presupuesto ejecutado corresponde al personal contratado para el cumplimiento del producto.,Se desarrollaron encuentros de Horizontes colectivos en las 16 comunas y 5 corregimientos del Distrito de Medellín,,SegIndic_PPPC_300625.xlsx,Matriz_MISE_DAP_300625 ,"Coordinar la formulación de los planes de desarrollo local con sus instrumentos de gestión, a través de la vinculación y articulación de los actores y procesos locales, para una adecuada gestión del territorio",,,,,,,,,,
455,"Instrumentos, metodologías y estrategias para la planeación social y económica diseñados ",1.0,1.0,142203000,"Diseñar instrumentos, metodologías, estrategias y escenarios de articulación, coordinación, pedagogía y participación ciudadana y comunitaria para la planeación, en el marco del Sistema distrital de Planeación.",761,Departamento Administrativo de Planeación Distrital,Ciudadanía en general,Comunas y Corregimientos Distrito de Medellín,Pilar 3: Transformación Educativa,0.0,0.25,0.25,0.5,,"Diseñar instrumentos, metodologías, estrategias y escenarios de articulación, coordinación, pedagogía y participación ciudadana y comunitaria para la planeación, en el marco del Sistema distrital de Planeación.","1) Desarrollo de los instrumentos del sistema distrital de planEación social y económica.
2) Formulación de los Planes de Desarrollo Local de las comunas y corregimientos del distrito",Gobernanza y gobernabilidad,Apoyo público-administrativo a la participación ciudadana,Garantías para la participación ciudadana,,Indicador de Producto," Numerador: V1 
Diseñar instrumentos, metodologías, estrategias y escenarios de articulación, coordinación, pedagogía y participación ciudadana y comunitaria para la planeación, en el marco del Sistema distrital de Planeación.
SIGLA: (DIMEEACPPCCPMMSDP)",V1,Unidad de Planeación del Desarrollo Distrital y Local,Número,Corto plazo,Anual," NAS, One Drive",2025,Número,1,2025.0,Mantener,Acumulado,"Se desarrollaron los Procedimientos de ruta anual de Presupuesto Participativo, seguimiento, BIPL, PDL; aprobados en Isolución ",https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,Metodología Horizontes Colectivos,https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,,,,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Unidad de Planeación del Desarrollo Distrital y Local,761,Departamento Administrativo de Planeación Distrital,240313,Desarrollo de los Instrumentos del Sistema Distrital de Planeación Social y Económica,No aplica,142203000,El presupuesto ejecutado corresponde al personal contratado para el cumplimiento del producto.,Se desarrolló metodología de Horizontes Colectivos,,SegIndic_PPPC_300625.xlsx,Matriz_MISE_DAP_300625 ,"Diseñar instrumentos, metodologías, estrategias y escenarios de articulación, coordinación, pedagogía y participación ciudadana y comunitaria para la planeación, en el marco del Sistema distrital de Planeación.",,,,,,,,,,
457,"Plataforma web ""Nuestro Desarrollo"" en funcionamiento",1.0,1.0,20223000,"Garantizar la sostenibilidad, actualización y fortalecimiento continuo de la plataforma web de participación digital en la planeación del desarrollo ""Nuestro Desarrollo""",761,Departamento Administrativo de Planeación Distrital,Ciudadanía en general,Comunas y Corregimientos Distrito de Medellín,Pilar 3: Transformación Educativa,0.0,0.25,0.25,0.5,,"Garantizar la sostenibilidad, actualización y fortalecimiento continuo de la plataforma web de participación digital en la planeación del desarrollo ""Nuestro Desarrollo""",Desarrollo de los instrumentos del sistema distrital de plaenación social y económica,Gobernanza y gobernabilidad,Comunicación pública y gobierno abierto,Gestión del conocimiento y la innovación social para la participación,,Indicador de Producto," Numerador: V1 
 ""Nuestro Desarrollo""
SIGLA: (ND)",V1,Unidad de Planeación del Desarrollo Distrital y Local,Número,Corto plazo,Anual," NAS, One Drive",2025,Número,1,2025.0,Mantener,Acumulado,Se generó el Informe monitoreo plataforma Nuestro Desarrollo que permite identificar el estado actual,https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,"Se ejecutaron cambios en la pagina Nuestro Desarrollo, se creo nuevo modulo Wordpress",https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,,,,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Unidad de Planeación del Desarrollo Distrital y Local,761,Departamento Administrativo de Planeación Distrital,240313,Desarrollo de los Instrumentos del Sistema Distrital de Planeación Social y Económica,No aplica,20223000,El presupuesto ejecutado corresponde al personal contratado para el cumplimiento del producto.,"Se ejecutaron cambios en la pagina Nuestro Desarrollo, se creo nuevo modulo estructura Wordpress.",,SegIndic_PPPC_300625.xlsx,Matriz_MISE_DAP_300625 ,"Garantizar la sostenibilidad, actualización y fortalecimiento continuo de la plataforma web de participación digital en la planeación del desarrollo ""Nuestro Desarrollo""",,,,,,,,,,
458,Acciones estratégicas y transversales en el marco de la planeación del desarrollo documentadas y sistematizadas,1.0,1.0,20223000,Documentar y sistematizar todas las acciones estratégicas y transversales desarrolladas en el marco de la planeación del desarrollo,761,Departamento Administrativo de Planeación Distrital,Ciudadanía en general,Comunas y Corregimientos Distrito de Medellín,Pilar 3: Transformación Educativa,0.0,0.25,0.25,0.5,,Documentar y sistematizar todas las acciones estratégicas y transversales desarrolladas en el marco de la planeación del desarrollo,Desarrollo de los instrumentos del sistema distrital de plaenación social y económica,Gobernanza y gobernabilidad,Gestión de la información y el conocimiento,Gestión del conocimiento y la innovación social para la participación,,Indicador de Producto,"Numerador: V1
acciones estratégicas y transversales desarrolladas en el marco de la planeación del desarrollo 
SIGLA: (AETDMPD)",V1,Unidad de Planeación del Desarrollo Distrital y Local,Número,Corto plazo,Anual," NAS, One Drive",2025,Número,1,2025.0,Mantener,Acumulado,Avance en el trimestre de la ruta anual de Presupuesto Participativo,https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,Se realizó la recolección de insumos de la ruta anual de Presupuesto Participativo de manera presencial y virtual en todas las comunas y corregimientos del Distrito,https://medellingovco-my.sharepoint.com/my?id=%2Fpersonal%2F1046668916%5Fmedellin%5Fgov%5Fco%2FDocuments%2FEvidencias%20PPPC%20%2D%20Unidad%20de%20Planeaci%C3%B3n%20del%20desarrollo%20Municipal%20y%20Local%20%2D%20DAP,,,,,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,Unidad de Planeación del Desarrollo Distrital y Local,761,Departamento Administrativo de Planeación Distrital,240313,Desarrollo de los Instrumentos del Sistema Distrital de Planeación Social y Económica,No aplica,20223000,El presupuesto ejecutado corresponde al personal contratado para el cumplimiento del producto.,Se realizó la recolección de insumos de la ruta anual de Presupuesto Participativo de manera presencial y virtual en todas las comunas y corregimientos del Distrito,,SegIndic_PPPC_300625.xlsx,Matriz_MISE_DAP_300625 ,Documentar y sistematizar todas las acciones estratégicas y transversales desarrolladas en el marco de la planeación del desarrollo,,,,,,,,,,
